S.NO,College Name,Courses,City,District,State,Phone No
1,Acharya Nagarjuna University,"MBA, MCA, M.Sc, M.Com, M.A",Guntur,Guntur,Andhra Pradesh,8632346015
2,Government Degree College,"M.Sc, M.A, M.Com",Guntur,Guntur,Andhra Pradesh,8632243333
3,Vignan's University,"MBA, M.Tech, M.Sc",Guntur,Guntur,Andhra Pradesh,8632353211
4,Siddhartha Degree College,"M.Sc, MA, M.Com",Guntur,Guntur,Andhra Pradesh,8632222211
5,Prasad V. Potluri Siddhartha Institute of Technology,M.Tech,Guntur,Guntur,Andhra Pradesh,8632353311
6,Andhra University,"M.Sc, MBA, M.Tech, M.Com",Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912840401
7,Gayathri Institute of Technology,M.Tech,Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912345689
8,GITAM University,"MBA, M.Sc, M.Com, M.Tech",Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912736945
9,PVPSIT College,"M.Tech, M.Sc",Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912765432
10,Krishna University,"M.Sc, M.A, M.Com",Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912578801
11,Sri Venkateswara University,"M.Tech, M.Sc, MBA, M.Com",Tirupati,Prakasam,Andhra Pradesh,8772288062
12,Government Degree College,"M.Sc, M.A, M.Com",Ongole,Prakasam,Andhra Pradesh,8632303156
13,Prakasam Degree College,"M.Sc, M.A, M.Com",Ongole,Prakasam,Andhra Pradesh,8632232290
14,St. Xavier's Degree College,"M.Com, MBA",Ongole,Prakasam,Andhra Pradesh,8632268802
15,VIT College of Engineering,"M.Tech, MBA",Ongole,Prakasam,Andhra Pradesh,8632322527
16,Yogi Vemana University,"M.Sc, M.Tech, MBA, M.Com",Kadapa,Kadapa,Andhra Pradesh,8572282803
17,Government Degree College,"M.Sc, M.A, M.Com",Kadapa,Kadapa,Andhra Pradesh,8572284213
18,Sri Krishnadevaraya University,"M.Sc, MBA, M.Tech",Kadapa,Kadapa,Andhra Pradesh,8572285207
19,Pratap College,"M.Sc, M.A, M.Com",Kadapa,Kadapa,Andhra Pradesh,8572285023
20,St. Ann's Degree College,"MBA, M.Sc",Kadapa,Kadapa,Andhra Pradesh,8572284567
21,Andhra University,"M.Sc, MBA, M.Tech, M.Com",Kakinada,East Godavari,Andhra Pradesh,8842380400
22,Pydah College of Engineering,"M.Tech, MBA",Kakinada,East Godavari,Andhra Pradesh,8842305762
23,Gayatri Vidya Parishad College of Engineering,"M.Tech, M.Sc",Kakinada,East Godavari,Andhra Pradesh,8842345365
24,Government Degree College,"M.Sc, M.A, M.Com",Rajahmundry,East Godavari,Andhra Pradesh,8842325311
25,St. Mary's College,"MBA, M.Sc",Rajahmundry,East Godavari,Andhra Pradesh,8842386200
26,Acharya Nagarjuna University,"MBA, MCA, M.Sc, M.Com, M.A",Guntur,Guntur,Andhra Pradesh,8632346015
27,Government Degree College,"M.Sc, M.A, M.Com",Guntur,Guntur,Andhra Pradesh,8632243333
28,Vignan's University,"MBA, M.Tech, M.Sc",Guntur,Guntur,Andhra Pradesh,8632353211
29,Siddhartha Degree College,"M.Sc, MA, M.Com",Guntur,Guntur,Andhra Pradesh,8632222211
30,Prasad V. Potluri Siddhartha Institute of Technology,M.Tech,Guntur,Guntur,Andhra Pradesh,8632353311
31,Andhra University,"M.Sc, MBA, M.Tech, M.Com",Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912840401
32,Gayathri Institute of Technology,M.Tech,Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912345689
33,GITAM University,"MBA, M.Sc, M.Com, M.Tech",Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912736945
34,PVPSIT College,"M.Tech, M.Sc",Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912765432
35,Krishna University,"M.Sc, M.A, M.Com",Visakhapatnam,Visakhapatnam,Andhra Pradesh,8912578801
