S.No,College Name,Address,City,District,State,Email,Phone No
1,Chaitanya Junior College,Main Road,Nellore,Prakasam,Andhra Pradesh,info@chaitanyacollege.edu.in,0861-2345678
2,KRISHNA Junior College,Krishna Nagar,Vijayawada,Krishna,Andhra Pradesh,krishna@jcollege.in,0866-2324005
3,Sri Venkateswara Junior College,Near Tirupati,Chittoor,Chittoor,Andhra Pradesh,info@svjc.edu.in,0877-2234567
4,Sri Chaitanya Junior College,Kakinada,East Godavari,Andhra Pradesh,info@srichaitanyacollege.in,0884-2305800,
5,Narayana Junior College,Brahmanapalli,Nellore,Prakasam,Andhra Pradesh,contact@narayanacollege.in,0861-2341245
6,Bright Future Junior College,Hanuman Junction,West Godavari,Andhra Pradesh,info@brightfuturejc.in,08812-234321,
7,Sri Saraswati Junior College,Vijayawada,West Godavari,Andhra Pradesh,info@srisarawatijc.edu.in,0867-2349890,
8,Sri Devi Junior College,Main Road,Kadapa,Kadapa,Andhra Pradesh,sridevi@jc.edu.in,08562-230123
9,Ideal Junior College,Near Bus Station,Visakhapatnam,Visakhapatnam,Andhra Pradesh,info@idealjc.edu.in,0891-2738942
10,Oxford Junior College,Beach Road,Visakhapatnam,Visakhapatnam,Andhra Pradesh,contact@oxfordjc.edu.in,0891-2712345
11,Advance Junior College,Nellore,Nellore,Andhra Pradesh,info@advancejc.in,0861-2325201,
12,St. Mary's Junior College,Vizag Road,Visakhapatnam,Visakhapatnam,Andhra Pradesh,st.marysjc@edu.in,0891-2345123
13,Sri Sai Junior College,Brahmanapalli,Nellore,Prakasam,Andhra Pradesh,srisai@juniorcollege.edu,0861-2323145
14,Shree Vani Junior College,Vijayawada,Krishna,Andhra Pradesh,info@shreevanijc.in,0866-2344500,
15,Vidya Junior College,Kadapa, Kadapa,Kadapa,Andhra Pradesh,vidya@juniorcollege.edu,08562-234521
16,National Junior College,East Godavari,Kakinada,East Godavari,Andhra Pradesh,info@njcollege.ac.in,0884-2331025
17,Sri Surya Junior College,Nellore,Nellore,Andhra Pradesh,info@suryaedu.in,0861-2345000,
18,GIT Junior College,Guntur,West Godavari,Andhra Pradesh,info@gitjc.in,0866-2323242,
19,Sri Bharathi Junior College,Kadapa,Kadapa,Andhra Pradesh,sbcollege@edu.in,08562-230345,
20,Narayana Junior College,Vijayawada,Krishna,Andhra Pradesh,njc@narayana.edu.in,0866-2456789,
21,Shree Vani Junior College,Pedda Gollapalli,Nellore,Prakasam,Andhra Pradesh,info@vani.edu,0861-2230000
22,Bright Future Junior College,Kothapeta,Kadapa,Kadapa,Andhra Pradesh,info@brightfuturejc.edu,08562-230134
23,Maruthi Junior College,Vijayawada,Krishna,Andhra Pradesh,info@maruthijc.edu.in,0866-2456711,
