S.No,College Name,Address,City,District,State,Email,Phone No,,
1,Sri Chaitanya Engineering College,Kakinada,East Godavari,Andhra Pradesh,contact@scec.ac.in,0884-2302200,,,
2,Andhra Loyola Institute of Engineering & Technology,Krishna Lanka,Vijayawada,Krishna,Andhra Pradesh,principal@aliet.edu.in,0866-2475555,,
3,Annamacharya Institute of Technology & Sciences,Rajampet,Kadapa,Kadapa,Andhra Pradesh,principal@aitsrajampet.ac.in,08562-236667,,
4,Global Institute of Engineering & Technology,Nellore,Prakasam,Andhra Pradesh,info@glowinstitute.edu.in,0861-2341234,,,
5,Chaitanya Engineering College,Chaitanya Valley, Madhurawada,Visakhapatnam,Visakhapatnam,Andhra Pradesh,principal@chaitanyaengg.ac.in,0891-2793111,
6,Sree Vidyanikethan Engineering College,Near Tirupati,Chittoor,Chittoor,Andhra Pradesh,contact@svec.edu.in,0877-2236711,,
7,Koneru Lakshmaiah Education Foundation,Vaddeswaram,Vijayawada,Krishna,Andhra Pradesh,info@kluniversity.in,0863-2399999,,
8,Vignan's Foundation for Science, Technology & Research,Medak,Vadlamudi, Guntur,Guntur,Andhra Pradesh,info@vignan.ac.in,0863-2345555
9,Dr. Samuel George Institute of Engineering & Technology,Markapur,Prakasam,Andhra Pradesh,principal@sgiet.ac.in,08594-230105,,,
10,Narayana Engineering College,Brahmanapalli,Nellore,Prakasam,Andhra Pradesh,contact@nec.edu.in,0861-2354666,,
11,Godavari Institute of Engineering & Technology,Rajahmundry,East Godavari,Andhra Pradesh,info@goi.edu.in,0883-2482444,,,
12,Gokaraju Rangaraju Institute of Engineering & Technology,Bachupally,Hyderabad,Medchal-Malkajgiri,Telangana,grriet@grriet.ac.in,040-23042758,,
13,Malla Reddy Engineering College,Maisammaguda,Medchal-Malkajgiri,Telangana,info@mrec.ac.in,040-64635235,,,
14,Shree Chaitanya College of Engineering,Hanuman Junction,West Godavari,Andhra Pradesh,info@shreechaitanya.ac.in,08812-273800,,,
15,Pydah College of Engineering & Technology,Kakinada,East Godavari,Andhra Pradesh,pydahcollege@pydah.edu.in,0884-2304400,,,
16,University College of Engineering (A),Visakhapatnam,Visakhapatnam,Andhra Pradesh,uce@visakha.edu,0891-2735866,,,
17,Anurag Group of Institutions,Medchal,Hyderabad,Telangana,info@anurag.edu.in,040-23030899,,,
18,St. Mary's Engineering College,Deshmukhi,Rangareddy,Telangana,info@stmarys.ac.in,08413-202536,,,
19,Sri Venkateswara College of Engineering,Chittoor,Chittoor,Andhra Pradesh,principal@svce.edu.in,0877-2284511,,,
20,Chaitanya Bharathi Institute of Technology,Hyderabad,Medchal-Malkajgiri,Telangana,cbitec@cbitec.ac.in,040-64634444,,,
21,Chalapathi Institute of Engineering & Technology,Guntur, Guntur,Guntur,Andhra Pradesh,principal@chalapathiengg.ac.in,0863-2284466,,
22,Sree Sakthi Engineering College,Chirala,Prakasam,Andhra Pradesh,sree.sakthi@ssengg.edu.in,08592-222543,,,
23,JNTU College of Engineering,Anantapur,Anantapur,Andhra Pradesh,info@jntua.ac.in,08554-230100,,,
24,Techno India NJR Institute of Technology,Visakhapatnam,Visakhapatnam,Andhra Pradesh,info@tiit.ac.in,0891-2431876,,,
25,Aditya Engineering College,Surampalem,Kakinada,East Godavari,Andhra Pradesh,info@aec.edu.in,0884-2300500,,
